"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","EDUTRY","25_34","PC_AGE","A","2015",48.466274,
"AUT","EDUTRY","25_34","PC_AGE","A","2015",38.626846,
"BEL","EDUTRY","25_34","PC_AGE","A","2015",43.144318,
"CAN","EDUTRY","25_34","PC_AGE","A","2015",59.182831,
"CZE","EDUTRY","25_34","PC_AGE","A","2015",31.010311,
"DNK","EDUTRY","25_34","PC_AGE","A","2015",44.475067,
"FIN","EDUTRY","25_34","PC_AGE","A","2015",40.524899,
"FRA","EDUTRY","25_34","PC_AGE","A","2015",44.687599,
"DEU","EDUTRY","25_34","PC_AGE","A","2015",29.588667,
"GRC","EDUTRY","25_34","PC_AGE","A","2015",40.063866,
"HUN","EDUTRY","25_34","PC_AGE","A","2015",32.12635,
"ISL","EDUTRY","25_34","PC_AGE","A","2015",40.052662,
"IRL","EDUTRY","25_34","PC_AGE","A","2015",52.004166,
"ITA","EDUTRY","25_34","PC_AGE","A","2015",25.149963,
"JPN","EDUTRY","25_34","PC_AGE","A","2015",59.646538,
"KOR","EDUTRY","25_34","PC_AGE","A","2015",68.861946,
"LUX","EDUTRY","25_34","PC_AGE","A","2015",49.945854,
"MEX","EDUTRY","25_34","PC_AGE","A","2015",20.806568,
"NLD","EDUTRY","25_34","PC_AGE","A","2015",45.087276,
"NZL","EDUTRY","25_34","PC_AGE","A","2015",39.066757,
"NOR","EDUTRY","25_34","PC_AGE","A","2015",48.138676,
"POL","EDUTRY","25_34","PC_AGE","A","2015",43.193764,
"PRT","EDUTRY","25_34","PC_AGE","A","2015",33.139576,
"SVK","EDUTRY","25_34","PC_AGE","A","2015",31.312998,
"ESP","EDUTRY","25_34","PC_AGE","A","2015",40.959778,
"SWE","EDUTRY","25_34","PC_AGE","A","2015",46.408928,
"CHE","EDUTRY","25_34","PC_AGE","A","2015",46.502586,
"TUR","EDUTRY","25_34","PC_AGE","A","2015",27.517448,
"GBR","EDUTRY","25_34","PC_AGE","A","2015",49.943413,
"USA","EDUTRY","25_34","PC_AGE","A","2015",46.517712,
"BRA","EDUTRY","25_34","PC_AGE","A","2015",16.62822,
"CHL","EDUTRY","25_34","PC_AGE","A","2015",29.874573,
"EST","EDUTRY","25_34","PC_AGE","A","2015",40.508533,
"IDN","EDUTRY","25_34","PC_AGE","A","2015",13.734091,
"ISR","EDUTRY","25_34","PC_AGE","A","2015",45.897861,
"RUS","EDUTRY","25_34","PC_AGE","A","2015",56.2855,
"SVN","EDUTRY","25_34","PC_AGE","A","2015",40.758549,
"ZAF","EDUTRY","25_34","PC_AGE","A","2015",5.4170251,
"OAVG","EDUTRY","25_34","PC_AGE","A","2015",41.410808,
"LVA","EDUTRY","25_34","PC_AGE","A","2015",39.870365,
"COL","EDUTRY","25_34","PC_AGE","A","2015",27.445988,
"LTU","EDUTRY","25_34","PC_AGE","A","2015",54.769646,
"CRI","EDUTRY","25_34","PC_AGE","A","2015",28.331566,
